card_no,filename,subject,name,rarity,up,right,down,left
1,card_001.png,こくご,はなのみち,1,2,1,3,7
2,card_002.png,こくご,おおきなかぶ,1,5,4,1,4
3,card_003.png,こくご,おむすびころりん,1,3,4,3,3
4,card_004.png,こくご,くじらぐも,1,2,2,4,6
5,card_005.png,こくご,サラダでげんき,1,4,7,1,1
6,card_006.png,こくご,たぬきの糸車,2,7,3,4,5
7,card_007.png,こくご,ずうっと、ずっと、大すきだよ,2,5,4,6,5
8,card_008.png,こくご,スイミー,2,3,6,5,4
9,card_009.png,こくご,お手紙,2,4,3,6,6
10,card_010.png,こくご,スーホの白い馬,2,7,2,7,2
11,card_011.png,こくご,ふきのとう,2,3,7,1,7
12,card_012.png,こくご,名前を見てちょうだい,2,5,7,4,4
13,card_013.png,こくご,ニャーゴ,2,4,4,5,5
14,card_014.png,こくご,かさこじぞう,2,7,4,6,2
15,card_015.png,こくご,きつねのおきゃくさま,2,3,5,5,5
16,card_016.png,こくご,ちいちゃんのかげおくり,3,1,5,8,7
17,card_017.png,こくご,モチモチの木,3,4,6,4,7
18,card_018.png,こくご,三年とうげ,3,7,5,8,3
19,card_019.png,こくご,きつつきの商売,3,8,3,2,7
20,card_020.png,こくご,まいごのかぎ,3,7,8,4,4
21,card_021.png,こくご,サーカスのライオン,3,8,1,4,7
22,card_022.png,こくご,わすれられないおくりもの,3,4,7,8,4
23,card_023.png,こくご,ごんぎつね,3,6,6,4,8
24,card_024.png,こくご,白いぼうし,3,2,3,8,7
25,card_025.png,こくご,一つの花,3,3,7,8,2
26,card_026.png,こくご,初雪のふる日,3,2,7,6,7
27,card_027.png,こくご,プラタナスの木,3,3,6,6,6
28,card_028.png,こくご,世界一美しいぼくの村,3,7,7,3,7
29,card_029.png,こくご,花さき山,3,7,6,7,1
30,card_030.png,こくご,アップとルーズで伝える,3,6,7,7,4
31,card_031.png,こくご,大造じいさんとガン,3,1,8,3,8
32,card_032.png,こくご,注文の多い料理店,3,8,6,7,1
33,card_033.png,こくご,なまえつけてよ,3,5,8,5,5
34,card_034.png,こくご,たずねびと,3,2,8,3,8
35,card_035.png,こくご,わらぐつの中の神様,3,6,8,7,1
36,card_036.png,こくご,固有種が教えてくれること,4,7,1,9,8
37,card_037.png,こくご,カレーライス,4,5,7,8,6
38,card_038.png,こくご,やまなし,4,5,9,5,8
39,card_039.png,こくご,海の命,4,8,6,8,6
40,card_040.png,こくご,帰り道,4,6,7,7,8
41,card_041.png,こくご,風切るつばさ,4,5,9,1,9
42,card_042.png,こくご,ヒロシマのうた,4,9,7,7,2
43,card_043.png,こくご,柿山伏,4,9,8,3,5
44,card_044.png,こくご,鳥獣戯画を読む,4,6,8,8,6
45,card_045.png,こくご,きつねの窓,4,6,8,6,8
46,card_046.png,こくご,こころ,5,4,8,10,6
47,card_047.png,こくご,走れメロス,5,5,9,6,9
48,card_048.png,こくご,羅生門,5,5,5,10,9
49,card_049.png,こくご,山月記,5,1,10,10,6
50,card_050.png,こくご,銀河鉄道の夜,5,9,4,10,5
51,card_051.png,さんすう,たし算,1,3,5,3,3
52,card_052.png,さんすう,ひき算,1,5,1,6,1
53,card_053.png,さんすう,10のまとまり,1,1,5,1,6
54,card_054.png,さんすう,とけい,1,3,2,1,6
55,card_055.png,さんすう,かたちあそび,1,2,2,7,2
56,card_056.png,さんすう,かけ算,2,5,7,4,3
57,card_057.png,さんすう,九九,2,7,6,2,4
58,card_058.png,さんすう,たし算のひっ算,2,2,4,6,6
59,card_059.png,さんすう,ひき算のひっ算,2,6,6,2,6
60,card_060.png,さんすう,1000までの数,2,1,3,7,7
61,card_061.png,さんすう,長さ,2,3,7,3,5
62,card_062.png,さんすう,水のかさ,2,7,6,3,3
63,card_063.png,さんすう,三角形,2,6,6,3,4
64,card_064.png,さんすう,四角形,2,1,7,3,7
65,card_065.png,さんすう,表とグラフ,2,7,3,7,1
66,card_066.png,さんすう,わり算,3,8,3,2,8
67,card_067.png,さんすう,あまりのあるわり算,3,6,6,3,6
68,card_068.png,さんすう,かけ算のひっ算,3,5,8,2,7
69,card_069.png,さんすう,わり算のひっ算,3,5,5,5,8
70,card_070.png,さんすう,小数,3,1,8,7,6
71,card_071.png,さんすう,分数,3,6,4,7,5
72,card_072.png,さんすう,大きな数,3,5,5,7,5
73,card_073.png,さんすう,重さ,3,7,8,1,4
74,card_074.png,さんすう,円と球,3,6,1,7,8
75,card_075.png,さんすう,二等辺三角形,3,8,5,5,6
76,card_076.png,さんすう,正三角形,3,8,2,7,4
77,card_077.png,さんすう,角度,3,6,2,6,7
78,card_078.png,さんすう,垂直と平行,3,4,7,4,8
79,card_079.png,さんすう,面積,3,8,6,4,6
80,card_080.png,さんすう,折れ線グラフ,3,7,1,7,7
81,card_081.png,さんすう,概数,3,2,2,8,8
82,card_082.png,さんすう,単位換算,3,7,6,6,2
83,card_083.png,さんすう,□を使った式,3,5,4,8,6
84,card_084.png,さんすう,そろばん,3,5,4,6,8
85,card_085.png,さんすう,直方体と立方体,3,4,7,8,2
86,card_086.png,さんすう,平均,4,3,9,3,9
87,card_087.png,さんすう,単位量あたり,4,1,9,9,5
88,card_088.png,さんすう,割合,4,2,7,7,8
89,card_089.png,さんすう,比,4,8,1,8,8
90,card_090.png,さんすう,速さ,4,7,6,8,7
91,card_091.png,さんすう,約数と倍数,4,9,4,8,4
92,card_092.png,さんすう,通分と約分,4,4,9,4,8
93,card_093.png,さんすう,体積,4,7,8,6,7
94,card_094.png,さんすう,円の面積,4,8,6,8,6
95,card_095.png,さんすう,比例と反比例,4,4,9,9,3
96,card_096.png,さんすう,円周率 π,5,10,5,10,2
97,card_097.png,さんすう,素数,5,1,9,9,9
98,card_098.png,さんすう,ピタゴラスの定理,5,5,10,3,10
99,card_099.png,さんすう,フィボナッチ数列,5,10,7,1,9
100,card_100.png,さんすう,黄金比,5,6,8,8,8
101,card_101.png,りか,タンポポ,1,6,3,1,3
102,card_102.png,りか,アサガオ,1,3,3,3,4
103,card_103.png,りか,ダンゴムシ,1,1,2,6,4
104,card_104.png,りか,メダカ,1,4,5,3,3
105,card_105.png,りか,水星,1,1,4,7,1
106,card_106.png,りか,ヒマワリ,2,4,3,7,3
107,card_107.png,りか,ホウセンカ,2,2,6,6,4
108,card_108.png,りか,モンシロチョウ,2,6,4,4,4
109,card_109.png,りか,ナナホシテントウ,2,3,5,4,7
110,card_110.png,りか,ミツバチ,2,6,5,3,4
111,card_111.png,りか,カタツムリ,2,7,7,3,2
112,card_112.png,りか,ニホンアマガエル,2,6,4,5,4
113,card_113.png,りか,アメリカザリガニ,2,4,4,7,4
114,card_114.png,りか,火星,2,6,4,7,1
115,card_115.png,りか,月,2,6,7,2,3
116,card_116.png,りか,サクラ,3,6,7,8,1
117,card_117.png,りか,ヘチマ,3,4,4,7,8
118,card_118.png,りか,イネ,3,6,1,8,7
119,card_119.png,りか,ジャガイモ,3,8,3,7,3
120,card_120.png,りか,アゲハチョウ,3,1,6,8,7
121,card_121.png,りか,オオカマキリ,3,8,4,8,2
122,card_122.png,りか,ショウリョウバッタ,3,8,7,2,4
123,card_123.png,りか,アキアカネ,3,7,8,4,3
124,card_124.png,りか,カイコ,3,4,7,3,7
125,card_125.png,りか,ニホンヤモリ,3,5,8,6,3
126,card_126.png,りか,フナ,3,7,8,4,2
127,card_127.png,りか,アンモナイト,3,7,6,1,8
128,card_128.png,りか,金星,3,5,7,7,2
129,card_129.png,りか,地球,3,8,2,3,8
130,card_130.png,りか,天王星,3,8,4,4,7
131,card_131.png,りか,海王星,3,1,7,7,7
132,card_132.png,りか,北極星,3,7,6,8,1
133,card_133.png,りか,ベガ,3,6,2,6,8
134,card_134.png,りか,オリオン座,3,7,5,2,8
135,card_135.png,りか,花こう岩,3,6,8,4,4
136,card_136.png,りか,カブトムシ,4,8,8,5,5
137,card_137.png,りか,オオクワガタ,4,8,3,8,8
138,card_138.png,りか,スズメバチ,4,8,9,1,7
139,card_139.png,りか,ワシ,4,7,9,6,6
140,card_140.png,りか,サメ,4,6,8,7,7
141,card_141.png,りか,木星,4,2,8,8,7
142,card_142.png,りか,土星,4,9,6,5,6
143,card_143.png,りか,太陽,4,9,7,8,1
144,card_144.png,りか,ベテルギウス,4,8,6,7,7
